,date_eod,close,high,low,hilow,volume
0,1987-11-05,1.71875,1.75,1.671875,1.7109375,336000
1,1987-11-06,1.609375,1.6875,1.609375,1.6484375,388800
2,1987-11-09,1.5,1.640625,1.46875,1.5546875,258400
3,1987-11-10,1.46875,1.5,1.46875,1.484375,246400
4,1987-11-11,1.5,1.515625,1.453125,1.484375,356000
5,1987-11-12,1.609375,1.609375,1.53125,1.5703125,204800
6,1987-11-13,1.625,1.625,1.609375,1.6171875,88000
7,1987-11-16,1.640625,1.671875,1.59375,1.6328125,380800
8,1987-11-17,1.625,1.625,1.609375,1.6171875,232800
9,1987-11-18,1.609375,1.625,1.59375,1.609375,168000
10,1987-11-19,1.609375,1.625,1.59375,1.609375,200000
11,1987-11-20,1.578125,1.609375,1.546875,1.578125,279200
12,1987-11-23,1.90625,2.1875,1.578125,1.8828125,2050400
13,1987-11-24,1.984375,2.0,1.875,1.9375,727200
14,1987-11-25,1.890625,1.953125,1.875,1.9140625,408800
15,1987-11-27,1.875,1.90625,1.859375,1.8828125,163200
16,1987-11-30,1.8125,1.8125,1.6875,1.75,596000
17,1987-12-01,1.734375,1.84375,1.71875,1.78125,283200
18,1987-12-02,1.703125,1.75,1.703125,1.7265625,287200
19,1987-12-03,1.671875,1.734375,1.671875,1.703125,134400
20,1987-12-04,1.65625,1.6875,1.625,1.65625,272000
21,1987-12-07,1.65625,1.671875,1.65625,1.6640625,300000
22,1987-12-08,1.671875,1.671875,1.65625,1.6640625,306400
23,1987-12-09,1.671875,1.71875,1.671875,1.6953125,523200
24,1987-12-10,1.75,1.828125,1.640625,1.734375,634400
25,1987-12-11,1.78125,1.796875,1.765625,1.78125,339200
26,1987-12-14,1.78125,1.796875,1.75,1.7734375,731200
27,1987-12-15,1.71875,1.765625,1.65625,1.7109375,814400
28,1987-12-16,1.796875,1.796875,1.75,1.7734375,136000
29,1987-12-17,1.75,1.8125,1.734375,1.7734375,129600
30,1987-12-18,1.765625,1.796875,1.71875,1.7578125,92800
31,1987-12-21,1.78125,1.78125,1.734375,1.7578125,350400
32,1987-12-22,1.75,1.765625,1.75,1.7578125,44000
33,1987-12-23,1.765625,1.78125,1.75,1.765625,84800
34,1987-12-24,1.78125,1.78125,1.765625,1.7734375,84000
35,1987-12-28,1.78125,1.78125,1.75,1.765625,85600
36,1987-12-29,1.875,1.875,1.765625,1.8203125,473600
37,1987-12-30,1.828125,1.859375,1.828125,1.84375,87200
38,1987-12-31,1.859375,1.859375,1.796875,1.828125,214400
39,1988-01-04,1.875,1.875,1.84375,1.859375,249600
40,1988-01-05,1.875,1.9375,1.875,1.90625,233600
41,1988-01-06,1.859375,1.890625,1.859375,1.875,168000
42,1988-01-07,1.84375,1.875,1.84375,1.859375,178400
43,1988-01-08,1.8125,1.890625,1.8125,1.8515625,699200
44,1988-01-11,1.828125,1.890625,1.78125,1.8359375,399200
45,1988-01-12,1.859375,1.859375,1.796875,1.828125,248800
46,1988-01-13,1.8125,1.859375,1.796875,1.828125,601600
47,1988-01-14,1.796875,1.8125,1.78125,1.796875,132000
48,1988-01-15,1.875,1.890625,1.8125,1.8515625,773600
