,date_eod,close,high,low,hilow,volume
0,2010-09-09,101.32,102.5,101.14,101.82,26513
1,2010-09-10,101.78,101.86,101.296,101.578,8638
2,2010-09-13,103.06,103.14,102.5,102.82,33752
3,2010-09-14,103.038,103.48,102.38,102.93,59420
4,2010-09-15,103.3,103.38,102.4,102.89,9283
5,2010-09-16,103.26,103.32,102.7,103.00999999999999,59580
6,2010-09-17,103.36,103.88,103.02,103.44999999999999,49365
7,2010-09-20,105.04,105.04,103.46,104.25,19006
8,2010-09-21,104.7198,105.44,104.28,104.86,19286
9,2010-09-22,104.16,105.04,103.96,104.5,18148
10,2010-09-23,103.3062,104.34,103.12,103.73,33358
11,2010-09-24,104.84,104.9,103.868,104.384,24126
12,2010-09-27,104.34,104.98,104.34,104.66,15044
13,2010-09-28,105.02,105.02,103.42,104.22,49853
14,2010-09-29,104.52,104.91,104.22,104.565,15890
15,2010-09-30,104.36,105.68,103.96,104.82,44707
16,2010-10-01,104.72,105.16,104.1648,104.66239999999999,17065
17,2010-10-04,103.84,105.26,103.5,104.38,88698
18,2010-10-05,106.116,106.2,104.82,105.50999999999999,19835
19,2010-10-06,105.936,106.28,105.62,105.95,276889
20,2010-10-07,105.88,106.5,105.32,105.91,49868
21,2010-10-08,106.6798,106.74,105.66,106.19999999999999,61519
22,2010-10-11,106.5,106.84,106.28,106.56,14181
23,2010-10-12,107.12,107.24,105.74,106.49,42019
24,2010-10-13,107.76,108.28,107.24,107.75999999999999,74418
25,2010-10-14,107.36,107.818,106.8,107.309,19074
26,2010-10-15,107.56,108.08,106.72,107.4,54913
27,2010-10-18,108.34,108.44,107.44,107.94,22848
28,2010-10-19,106.6202,107.68,106.02,106.85,38548
29,2010-10-20,107.76,108.16,106.94,107.55,22798
30,2010-10-21,107.92,108.756,107.31,108.033,29367
31,2010-10-22,108.18,108.2,107.94,108.07,24846
32,2010-10-25,108.5,109.28,108.46,108.87,29563
33,2010-10-26,108.48,108.552,107.88,108.21600000000001,14976
34,2010-10-27,108.14,108.22,107.22,107.72,17106
35,2010-10-28,108.22,108.82,107.76,108.28999999999999,19229
36,2010-10-29,108.3,108.42,108.0,108.21000000000001,13358
37,2010-11-01,108.36,109.42,107.76,108.59,51504
38,2010-11-02,109.2,109.42,108.858,109.13900000000001,26077
39,2010-11-03,109.66,109.66,108.32,108.99,31832
40,2010-11-04,111.72,111.8,110.74,111.27,48967
