,date,timestamp,price,hilow,volume
0,2021-11-15,2021-11-15 03:05:00,430.5,430.495,500
1,2021-11-15,2021-11-15 03:10:00,430.5,430.5,100
2,2021-11-15,2021-11-15 05:25:00,430.6,430.6,100
3,2021-11-15,2021-11-15 06:30:00,430.57,430.555,547
4,2021-11-15,2021-11-15 06:40:00,430.6,430.6,100
5,2021-11-15,2021-11-15 07:00:00,430.72,430.72,350
6,2021-11-15,2021-11-15 07:05:00,430.89,430.89,100
7,2021-11-15,2021-11-15 07:10:00,431.0,430.995,200
8,2021-11-15,2021-11-15 07:15:00,431.26,431.19,900
9,2021-11-15,2021-11-15 07:25:00,431.33,431.35,1555
10,2021-11-15,2021-11-15 07:30:00,431.37,431.37,100
11,2021-11-15,2021-11-15 07:40:00,431.28,431.29499999999996,300
12,2021-11-15,2021-11-15 07:45:00,431.2,431.28004999999996,676
13,2021-11-15,2021-11-15 07:50:00,431.2,431.2,491
14,2021-11-15,2021-11-15 07:55:00,431.15,431.145,2083
15,2021-11-15,2021-11-15 08:00:00,431.14,431.13,1482
16,2021-11-15,2021-11-15 08:05:00,431.15,431.15,100
17,2021-11-15,2021-11-15 08:10:00,431.1,431.135,1800
18,2021-11-15,2021-11-15 08:15:00,431.08,431.1,1700
19,2021-11-15,2021-11-15 08:20:00,431.09,431.08500000000004,1862
20,2021-11-15,2021-11-15 08:25:00,430.89,430.97,9775
21,2021-11-15,2021-11-15 08:30:00,430.72,430.72749999999996,167281
22,2021-11-15,2021-11-15 08:35:00,430.85,430.79499999999996,86998
23,2021-11-15,2021-11-15 08:40:00,430.45,430.65819999999997,69715
24,2021-11-15,2021-11-15 08:45:00,430.4,430.51,56341
25,2021-11-15,2021-11-15 08:50:00,430.5122,430.2511,37140
26,2021-11-15,2021-11-15 08:55:00,430.8,430.65999999999997,31393
27,2021-11-15,2021-11-15 09:00:00,430.2,430.475,34485
28,2021-11-15,2021-11-15 09:05:00,430.15,430.275,31650
29,2021-11-15,2021-11-15 09:10:00,430.07,430.15565000000004,34599
30,2021-11-15,2021-11-15 09:15:00,429.99,429.986,27121
31,2021-11-15,2021-11-15 09:20:00,430.02,430.0833,15647
32,2021-11-15,2021-11-15 09:25:00,430.07,430.095,27428
33,2021-11-15,2021-11-15 09:30:00,430.07,430.0395,22955
34,2021-11-15,2021-11-15 09:35:00,429.98,430.07500000000005,27938
35,2021-11-15,2021-11-15 09:40:00,430.02,429.975,25159
36,2021-11-15,2021-11-15 09:45:00,430.185,430.1175,9951
37,2021-11-15,2021-11-15 09:50:00,430.2,430.23,12333
38,2021-11-15,2021-11-15 09:55:00,430.1,430.17999999999995,21915
39,2021-11-15,2021-11-15 10:00:00,430.13,430.18,16131
40,2021-11-15,2021-11-15 10:05:00,430.2776,430.185,12813
41,2021-11-15,2021-11-15 10:10:00,430.26,430.265,9918
42,2021-11-15,2021-11-15 10:15:00,430.19,430.21500000000003,30963
43,2021-11-15,2021-11-15 10:20:00,430.1394,430.125,14706
44,2021-11-15,2021-11-15 10:25:00,430.0,430.07,12159
45,2021-11-15,2021-11-15 10:30:00,430.08,430.025,25787
46,2021-11-15,2021-11-15 10:35:00,430.04,430.1675,31450
47,2021-11-15,2021-11-15 10:40:00,428.91,429.47,63811
48,2021-11-15,2021-11-15 10:45:00,429.091,428.995,41133
49,2021-11-15,2021-11-15 10:50:00,429.01,428.93,22254
50,2021-11-15,2021-11-15 10:55:00,429.29,429.19,25344
51,2021-11-15,2021-11-15 11:00:00,429.341,429.29560000000004,37119
52,2021-11-15,2021-11-15 11:05:00,429.35,429.34000000000003,11769
53,2021-11-15,2021-11-15 11:10:00,429.24,429.29,10642
54,2021-11-15,2021-11-15 11:15:00,429.09,429.155,15685
55,2021-11-15,2021-11-15 11:20:00,428.97,428.895,26919
56,2021-11-15,2021-11-15 11:25:00,429.0,428.98915,14737
57,2021-11-15,2021-11-15 11:30:00,429.25,429.12,25967
58,2021-11-15,2021-11-15 11:35:00,429.34,429.28,10379
59,2021-11-15,2021-11-15 11:40:00,429.55,429.415,18864
60,2021-11-15,2021-11-15 11:45:00,429.4525,429.46355,7580
61,2021-11-15,2021-11-15 11:50:00,429.53,429.51,4919
62,2021-11-15,2021-11-15 11:55:00,429.5601,429.5325,6279
63,2021-11-15,2021-11-15 12:00:00,429.76,429.58,7839
64,2021-11-15,2021-11-15 12:05:00,429.68,429.69,10920
65,2021-11-15,2021-11-15 12:10:00,429.65,429.675,8621
66,2021-11-15,2021-11-15 12:15:00,429.68,429.755,26023
67,2021-11-15,2021-11-15 12:20:00,429.64,429.515,43705
68,2021-11-15,2021-11-15 12:25:00,429.6,429.54499999999996,14144
69,2021-11-15,2021-11-15 12:30:00,429.52,429.585,8005
70,2021-11-15,2021-11-15 12:35:00,429.5,429.5075,4290
71,2021-11-15,2021-11-15 12:40:00,429.43,429.40999999999997,8820
72,2021-11-15,2021-11-15 12:45:00,429.59,429.55,12309
73,2021-11-15,2021-11-15 12:50:00,429.52,429.58,4983
74,2021-11-15,2021-11-15 12:55:00,429.4498,429.5244,20035
75,2021-11-15,2021-11-15 13:00:00,429.3218,429.3694,13718
76,2021-11-15,2021-11-15 13:05:00,429.31,429.2615,16361
77,2021-11-15,2021-11-15 13:10:00,429.28,429.35,10248
78,2021-11-15,2021-11-15 13:15:00,429.13,429.2046,16917
79,2021-11-15,2021-11-15 13:20:00,429.21,429.125,13801
80,2021-11-15,2021-11-15 13:25:00,429.19,429.12,17074
81,2021-11-15,2021-11-15 13:30:00,429.28,429.195,13459
82,2021-11-15,2021-11-15 13:35:00,429.3598,429.3195,12442
83,2021-11-15,2021-11-15 13:40:00,429.68,429.535,22022
84,2021-11-15,2021-11-15 13:45:00,429.64,429.66499999999996,36165
85,2021-11-15,2021-11-15 13:50:00,429.48,429.595,10202
86,2021-11-15,2021-11-15 13:55:00,429.61,429.605,9799
87,2021-11-15,2021-11-15 14:00:00,429.55,429.635,19668
88,2021-11-15,2021-11-15 14:05:00,429.47,429.52,28783
89,2021-11-15,2021-11-15 14:10:00,429.53,429.50469999999996,15380
90,2021-11-15,2021-11-15 14:15:00,429.58,429.58995000000004,14054
91,2021-11-15,2021-11-15 14:20:00,429.65,429.645,15230
92,2021-11-15,2021-11-15 14:25:00,429.7611,429.71000000000004,16905
93,2021-11-15,2021-11-15 14:30:00,429.49,429.62,19466
94,2021-11-15,2021-11-15 14:35:00,429.38,429.45,60976
95,2021-11-15,2021-11-15 14:40:00,429.37,429.35,25756
96,2021-11-15,2021-11-15 14:45:00,429.19,429.21500000000003,32254
97,2021-11-15,2021-11-15 14:50:00,429.15,429.11,57955
98,2021-11-15,2021-11-15 14:55:00,429.7498,429.46500000000003,121246
99,2021-11-15,2021-11-15 15:00:00,429.81,429.85,86291
